Year,TOTAL fatalities,Passenger car occupants,"Truck occupants a, light",Pedestrians,Motorcyclists,Pedalcyclists,"Highway, other incident b","Truck occupants a, large",Recreational boating c,"Railroad, trespassers",General aviation d,Highway-rail grade crossing,"Transit, other incident","Rail, other incidents f",Bus occupants,"Water, freight j",Transit passenger/occupant,On-demand air taxi g,"Water, passenger e","Railroad, train accidents","Water, industrial/other h",Gas pipeline,"Train, employee/worker",Commuter carrier k,Hazardous liquid pipeline,U.S. air carrier i,"Other counts, redundant with above","Rail, freight","Rail, passenger","Transit, rail","Railroad, killed at public crossing with motor vehicle","Transit, non-rail","Water, Vessel-related","Water, Not related to vessel casualties"
1999,43975,20862,11265,4939,2483,754,596,759,734,479,621,402,,42,59,,,38,,9,,18,,12,4,12,0,745,188,196,309,103,58,136
2000,44276,20699,11526,4763,2897,693,591,754,701,463,596,425,,39,22,,,71,15,10,,37,,5,1,92,0,717,220,197,306,98,53,134
2001,44873,20320,11723,4901,3197,732,581,708,681,511,562,421,,33,34,,,60,0,6,,7,,13,0,531,0,729,242,167,315,100,53,94
2002,45292,20569,12274,4851,3270,665,642,689,750,540,581,357,130,39,45,48,47,35,48,15,44,11,5,0,1,0,0,725,226,89,271,93,29,64
2003,45121,19725,12546,4774,3714,629,729,726,703,498,633,334,143,29,41,39,51,42,52,4,50,12,8,2,0,22,0,683,182,66,249,136,44,76
2004,45028,19192,12674,4675,4028,727,732,766,676,472,559,371,136,35,42,37,33,64,55,13,47,18,8,0,5,14,0,690,201,82,256,95,65,69
2005,45642,18512,13037,4892,4576,786,845,804,697,458,563,359,94,34,58,33,48,18,52,33,47,15,7,0,2,22,0,682,202,57,258,92,46,67
2006,45063,17925,12761,4795,4837,772,786,805,710,511,706,369,133,17,27,37,20,16,91,6,45,21,9,2,0,50,0,723,180,41,267,121,45,70
2007,43346,16614,12458,4699,5174,701,772,805,685,470,496,339,153,33,36,42,26,43,79,9,36,11,9,0,4,1,0,635,216,66,227,122,31,65
2008,39562,14646,10816,4414,5312,718,768,682,709,457,496,290,158,30,67,34,28,69,65,27,46,6,6,0,2,3,0,575,229,104,199,88,31,82
2009,35985,13135,10312,4109,4469,628,705,499,736,416,479,248,178,27,26,30,44,17,62,4,37,9,11,0,4,52,0,481,214,142,161,91,34,72
2010,35040,12491,9782,4302,4518,623,709,530,672,441,458,261,174,25,44,22,42,17,87,8,40,21,6,0,1,2,0,520,215,122,136,100,37,58
2011,34568,12014,9302,4457,4630,682,699,640,758,399,458,246,181,30,55,18,42,41,96,6,32,13,3,0,0,0,0,492,189,130,138,96,27,43
2012,35693,12361,9418,4818,4986,734,729,697,651,405,438,231,193,24,39,14,67,12,84,9,16,9,5,0,3,0,0,475,194,150,135,115,25,60
2013,34691,12037,9186,4779,4692,749,701,695,560,427,390,232,206,32,54,19,56,25,26,11,45,8,11,5,1,9,0,505,197,149,141,124,16,74
2014,34639,11947,9103,4910,4594,729,761,656,610,470,423,262,174,31,44,18,57,20,14,5,32,19,5,0,0,0,0,551,220,135,144,101,14,50
2015,37372,12763,9878,5494,5029,829,777,665,626,450,378,237,221,51,49,41,29,27,15,11,18,10,4,1,1,0,0,500,249,150,128,104,46,28
2016,39751,13508,10369,6080,5337,852,871,725,701,467,386,255,200,31,64,12,49,19,7,7,17,13,8,8,3,0,0,507,253,149,130,108,18,18
2017,39032,13363,10188,5977,5172,783,765,841,658,513,330,271,190,34,44,11,47,15,9,6,28,19,4,1,1,0,0,520,304,143,140,98,23,25
